cohort,cohort_label,is_clinical,rule,partition,n_levels_admissible,partition_sd_ratio,min_level_lp_sd,max_level_lp_sd,min_level_lp_mean,max_level_lp_mean,level_lp_mean_spread,implied_auroc_min,implied_auroc_max,implied_casemix_gap,observed_auc_gap,observed_minus_implied
nhis2023,NHIS 2023,True,m30,sex,2,1.021756,1.858946,1.899389,-3.126044,-3.056286,0.069759,0.868709,0.871398,0.00269,0.018805,0.016115
diabetes130,Diabetes 130,True,m30,gender,2,1.02151,0.507554,0.518471,-2.192406,-2.155598,0.036808,0.638437,0.641159,0.002721,0.013481,0.010759
nhanes2123,NHANES 21-23,True,m30,sex,2,1.089801,2.736013,2.981711,-3.922674,-3.53445,0.388224,0.926344,0.931715,0.005371,0.020326,0.014954
nhis2023,NHIS 2023,True,m30,insured,2,1.03666,1.790707,1.856355,-4.252512,-3.012178,1.240335,0.867348,0.873951,0.006604,0.018325,0.011721
nhis2024,NHIS 2024,True,m30,race,4,1.051426,1.982425,2.084372,-4.786424,-3.76598,1.020444,0.890078,0.897668,0.00759,0.108974,0.101384
nhanes2123,NHANES 21-23,True,m30,insured,2,1.139703,2.533825,2.887809,-4.135857,-3.700508,0.435349,0.920246,0.929871,0.009625,0.032844,0.023219
brfss2024,BRFSS 2024,True,m30,health_plan,2,1.028999,1.149948,1.183295,-2.309528,-1.630796,0.678732,0.770165,0.780175,0.01001,0.010874,0.000865
nhis2024,NHIS 2024,True,m30,sex,2,1.144981,1.928757,2.20839,-4.308675,-3.620557,0.688118,0.886491,0.898815,0.012324,0.003673,-0.008651
nhis2024,NHIS 2024,True,m30,income,5,1.139718,1.982785,2.259816,-4.18549,-3.728857,0.456633,0.888919,0.903155,0.014235,0.096774,0.082539
brfss2024,BRFSS 2024,True,m30,income,7,1.062697,1.0938,1.162378,-2.158728,-1.266007,0.892722,0.760334,0.775468,0.015134,0.046179,0.031044
nhanes2123,NHANES 21-23,True,m30,race,5,1.316005,2.578187,3.392908,-4.038644,-2.678638,1.360007,0.920334,0.942216,0.021882,0.046498,0.024615
brfss2024,BRFSS 2024,True,m30,sex,2,1.113005,1.043029,1.160897,-1.989644,-1.304915,0.684729,0.750483,0.774297,0.023814,0.013565,-0.010249
nhis2023,NHIS 2023,True,m30,race,7,1.185683,1.802743,2.137483,-4.099396,-2.663901,1.435496,0.862305,0.887223,0.024918,0.129004,0.104086
diabetes130,Diabetes 130,True,m30,race,5,1.240049,0.459919,0.570322,-2.386834,-2.163916,0.222918,0.62638,0.654144,0.027764,0.123573,0.095809
nhanes2123,NHANES 21-23,True,m30,age_group,4,1.601523,1.856245,2.972819,-5.638399,-2.585069,3.05333,0.891834,0.925753,0.033919,0.074844,0.040925
nhis2024,NHIS 2024,True,m30,insurance,2,1.321857,1.576382,2.083752,-5.390573,-3.888397,1.502175,0.859019,0.893598,0.034579,0.043906,0.009327
brfss2024,BRFSS 2024,True,m30,age_group,5,1.284687,0.833138,1.070321,-3.952907,-1.127491,2.825416,0.710352,0.767156,0.056804,0.068386,0.011581
nhis2024,NHIS 2024,True,m30,age_group,6,1.362415,0.929562,1.266449,-6.425885,-1.944838,4.481047,0.74417,0.801286,0.057115,0.327916,0.270801
brfss2024,BRFSS 2024,True,m30,race,8,1.334657,1.05407,1.406822,-2.360702,-1.234385,1.126318,0.752043,0.81044,0.058397,0.223732,0.165335
nhis2023,NHIS 2023,True,m30,age_group,4,1.34807,1.143105,1.540986,-5.147933,-1.760683,3.38725,0.769888,0.839225,0.069337,0.128013,0.058676
diabetes130,Diabetes 130,True,m30,age_group,9,3.303583,0.339279,1.120837,-2.972057,-1.915627,1.05643,0.594269,0.767242,0.172974,0.216049,0.043075
