cohort,cohort_label,is_clinical,rule,partition,partition_key,n_levels_admissible,min_level_n,max_level_n,n_replicates,observed_sd_ratio,null_sd_ratio_median,null_sd_ratio_p95,sd_ratio_null_percentile,sd_ratio_exceeds_null_p95,observed_implied_gap_empirical,null_implied_gap_median,null_implied_gap_p95,implied_gap_null_percentile,implied_gap_exceeds_null_p95,implied_gap_minus_null_median
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,5,96,15275,2000,1.2400488097604687,1.1301909185671888,1.3088912466620823,0.872,False,0.03311990286800104,0.017765509619185993,0.03809148832595199,0.8995,False,0.015354393248815046
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,2,9300,10590,2000,1.0215101992692017,1.0099160691192264,1.0286166775594638,0.848,False,0.0020771380325619315,0.0014157061591643094,0.004100376739010525,0.6715,False,0.0006614318733976221
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,9,130,5109,2000,3.3035828296356273,1.1281407278614064,1.2662749985389228,1.0,True,0.2018027811512555,0.01736693975842457,0.03357652671376241,1.0,True,0.18443584139283092
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,4,308,15275,2000,1.2298992804437154,1.0763240269538201,1.1703829165704813,0.9905,True,0.03311990286800104,0.010614105068302848,0.022482948091998238,0.996,True,0.02250579779969819
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,2,9300,10590,2000,1.0215101992692017,1.009778190814524,1.029523445222601,0.8435,False,0.0020771380325619315,0.0014296529045935147,0.004248985613900995,0.667,False,0.0006474851279684168
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,9,130,5109,2000,3.3035828296356273,1.1263745341856273,1.2619004317012656,1.0,True,0.2018027811512555,0.017220933010353268,0.0333278107104547,1.0,True,0.18458184814090223
brfss2024,BRFSS 2024,True,m30,age_group,brfss2024|age_group,5,234,4821,2000,1.2846866285651966,1.0630038038161314,1.1314691680146036,0.9995,True,0.08978923392179328,0.011522774625319754,0.023505502042174792,1.0,True,0.07826645929647352
brfss2024,BRFSS 2024,True,m30,sex,brfss2024|sex,2,4484,4494,2000,1.1130054617947456,1.0105431990089784,1.0306267923299552,1.0,True,0.022277635563224152,0.0020961367384423335,0.005775336100259042,1.0,True,0.02018149882478182
brfss2024,BRFSS 2024,True,m30,race,brfss2024|race,8,59,6510,2000,1.334656893362393,1.1787774402076434,1.3510675421122071,0.9385,False,0.059756110973522625,0.031760389579174264,0.05566992207738749,0.9685,True,0.02799572139434836
brfss2024,BRFSS 2024,True,m30,income,brfss2024|income,7,398,2634,2000,1.0626965192521916,1.065120875624701,1.1180243889866603,0.455,False,0.02674862895146135,0.012091685650570283,0.020439172216095362,0.996,True,0.014656943300891068
brfss2024,BRFSS 2024,True,m30,health_plan,brfss2024|health_plan,2,213,8765,2000,1.0289989608655234,1.0360468354374248,1.1078982293159738,0.4115,False,0.017140652124097544,0.006832369389149606,0.01941615230762513,0.917,False,0.010308282734947938
brfss2024,BRFSS 2024,True,ev10,age_group,brfss2024|age_group,4,611,4821,2000,1.2846866285651966,1.03974329918556,1.0818139859051061,1.0,True,0.078807383589379,0.0073757610997811085,0.014941807588816159,1.0,True,0.07143162248959789
brfss2024,BRFSS 2024,True,ev10,sex,brfss2024|sex,2,4484,4494,2000,1.1130054617947456,1.0107064024811436,1.0318176225586557,1.0,True,0.022277635563224152,0.00203639658984045,0.006054297953496812,1.0,True,0.0202412389733837
brfss2024,BRFSS 2024,True,ev10,race,brfss2024|race,8,59,6510,2000,1.334656893362393,1.1828466646478581,1.3651108722245282,0.9345,False,0.059756110973522625,0.031920635079767945,0.05583386298843904,0.967,True,0.02783547589375468
brfss2024,BRFSS 2024,True,ev10,income,brfss2024|income,7,398,2634,2000,1.0626965192521916,1.0664012874746016,1.1149590004090084,0.4455,False,0.02674862895146135,0.012255588981787191,0.021236020218205417,0.9905,True,0.01449303996967416
brfss2024,BRFSS 2024,True,ev10,health_plan,brfss2024|health_plan,2,213,8765,2000,1.0289989608655234,1.034767198000421,1.106641010068185,0.432,False,0.017140652124097544,0.006661092678063862,0.018913889107026943,0.91,False,0.010479559446033682
nhis2023,NHIS 2023,True,m30,age_group,nhis2023|age_group,4,1146,1811,2000,1.3480698335769468,1.0287814497364334,1.0549938162292538,1.0,True,0.09646351658271668,0.00712301348328942,0.013553771435532191,1.0,True,0.08934050309942726
nhis2023,NHIS 2023,True,m30,sex,nhis2023|sex,2,2451,2972,2000,1.02175560948272,1.0099565095085232,1.0280821177930424,0.8765,False,0.001815653299908515,0.0024787450029455926,0.007396182409426937,0.3765,False,-0.0006630917030370775
nhis2023,NHIS 2023,True,m30,race,nhis2023|race,7,31,3605,2000,1.1856833348739897,1.1655997611783806,1.3454675320662848,0.5895,False,0.049537202085961685,0.039330693418156815,0.07672651938694669,0.711,False,0.01020650866780487
nhis2023,NHIS 2023,True,m30,insured,nhis2023|insured,2,360,5063,2000,1.0366600353299058,1.0191445491402173,1.0599354887079484,0.7865,False,0.04342133629559908,0.004834159075083333,0.013962313717210573,1.0,True,0.038587177220515745
nhis2023,NHIS 2023,True,ev10,age_group,nhis2023|age_group,4,1146,1811,2000,1.3480698335769468,1.0287143079199175,1.0538577635653548,1.0,True,0.09646351658271668,0.007253556663586902,0.013455007217730689,1.0,True,0.08920995991912978
nhis2023,NHIS 2023,True,ev10,sex,nhis2023|sex,2,2451,2972,2000,1.02175560948272,1.0098802416965236,1.028335576677753,0.863,False,0.001815653299908515,0.0025062261396759378,0.0069291462501567085,0.3695,False,-0.0006905728397674227
nhis2023,NHIS 2023,True,ev10,race,nhis2023|race,4,304,3605,2000,1.084510786288977,1.0410916468484803,1.08626128339131,0.946,False,0.047461639765712826,0.010159078683445066,0.021104438635262405,1.0,True,0.03730256108226776
