cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_test,n_levels_admissible,partition_sd_ratio,min_level_lp_sd,max_level_lp_sd,min_level_lp_mean,max_level_lp_mean,level_lp_mean_spread,implied_auroc_min_gaussian,implied_auroc_max_gaussian,implied_casemix_gap_gaussian,implied_auroc_min_empirical,implied_auroc_max_empirical,implied_casemix_gap_empirical,observed_auc_gap
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,published,False,,published,19890,5,1.2400488097604687,0.4599193106798152,0.57032239379436,-2.3868338461409944,-2.163915784346839,0.22291806179415552,0.6263803259286445,0.6541441912020355,0.02776386527339103,0.6278339392703371,0.6609538421383382,0.03311990286800104,0.1235725710459753
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,published,False,,published,19890,2,1.0215101992692017,0.5075539051739006,0.5184714908140527,-2.1924058714170696,-2.1555983362062516,0.03680753521081792,0.6384371421518076,0.6411585763797295,0.002721434227921926,0.6422444438988566,0.6443215819314185,0.0020771380325619315,0.01348071459925726
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,published,False,,published,19890,9,3.3035828296356273,0.33927920812373075,1.1208369664099294,-2.972056626740284,-1.9156269976950997,1.0564296290451842,0.5942686033383419,0.7672423820529299,0.17297377871458808,0.5954013698850111,0.7972041510362666,0.2018027811512555,0.21604857190810656
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,published,False,,published,19890,4,1.2298992804437154,0.46371471458102054,0.57032239379436,-2.332965518238077,-2.163915784346839,0.16904973389123823,0.6272902025346311,0.6541441912020355,0.026853988667404405,0.6278339392703371,0.6609538421383382,0.03311990286800104,0.0831307890960411
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,published,False,,published,19890,2,1.0215101992692017,0.5075539051739006,0.5184714908140527,-2.1924058714170696,-2.1555983362062516,0.03680753521081792,0.6384371421518076,0.6411585763797295,0.002721434227921926,0.6422444438988566,0.6443215819314185,0.0020771380325619315,0.01348071459925726
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,published,False,,published,19890,9,3.3035828296356273,0.33927920812373075,1.1208369664099294,-2.972056626740284,-1.9156269976950997,1.0564296290451842,0.5942686033383419,0.7672423820529299,0.17297377871458808,0.5954013698850111,0.7972041510362666,0.2018027811512555,0.21604857190810656
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,42,xgb_published|s42,19890,5,1.240789469357846,0.4585616210485351,0.5689784304486856,-2.3824387754387697,-2.1614718716944217,0.22096690374434802,0.6260233768220548,0.6538121934793072,0.027788816657252413,0.627326635803232,0.6602627725888677,0.03293613678563567,0.14083423225710456
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,42,xgb_published|s42,19890,2,1.0232193749683842,0.5054623542692237,0.5171988742054031,-2.1892665127119253,-2.1546388307705566,0.03462768194136867,0.6379015478159091,0.6408356138248366,0.0029340660089274273,0.6412741767640001,0.6435183547122132,0.0022441779482130775,0.011698051713659119
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,42,xgb_published|s42,19890,9,3.3097603284899724,0.3362303311374182,1.1128418112336733,-2.982490940739741,-1.8995139843115743,1.0829769564281668,0.5934452130239563,0.7658042747754197,0.17235906175146343,0.5950489766960274,0.7952244954875531,0.20017551879152573,0.2231903797849082
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,42,xgb_published|s42,19890,4,1.231363016638416,0.462072047609469,0.5689784304486856,-2.32742335498567,-2.1614718716944217,0.16595148329124854,0.6268661707369316,0.6538121934793072,0.026946022742375564,0.627326635803232,0.6602627725888677,0.03293613678563567,0.08408810248108356
