partition_key,cohort_label,partition,n_specs_measured,published_gaussian,median_gaussian,min_gaussian,max_gaussian,published_empirical,median_empirical,min_empirical,max_empirical,published_sd_ratio,min_sd_ratio,max_sd_ratio
nhis2023|sex,NHIS 2023,sex,24,0.002689810024975814,0.006834081537382186,0.0010115823829839332,0.015004110185880548,0.001815653299908515,0.005320236791726163,0.001139587585745394,0.016779445978142293,1.02175560948272,1.0012363576204713,1.1468697581670895
diabetes130|gender,Diabetes 130,gender,24,0.002721434227921926,0.004204671462332832,0.001098752422527216,0.019428402602593486,0.0020771380325619315,0.0036507370972710396,0.00029662525734330814,0.015638559961023812,1.0215101992692017,1.005778168666727,1.1908028814264
nhanes2123|sex,NHANES 21-23,sex,24,0.005371240010834111,0.0040943337414166,0.0005921826808457098,0.023299656774363853,0.0008403949466686544,0.0032372304288853515,0.00026130398945256594,0.019729969469307163,1.089801412991661,1.0029499577473593,1.2438576117974007
nhis2023|insured,NHIS 2023,insured,24,0.006603657984060041,0.011129348663850236,7.214545298861452e-05,0.04925195185261011,0.04342133629559908,0.018844405956901622,0.0004888647634935239,0.08936823762825741,1.0366600353299058,1.0095465843878026,1.2876148534679572
nhis2024|race,NHIS 2024,race,24,0.007589639950463467,0.014962574873403023,0.003818953255663171,0.03041369282650197,0.026952715503614666,0.03760716819915233,0.017060196271437622,0.07254248432236787,1.0514257767093511,1.0479375512882394,1.2408243697600307
nhanes2123|insured,NHANES 21-23,insured,20,0.00962495505114358,0.007460820119172762,0.00021898843828105363,0.03736310299037349,0.005338137776162766,0.006499463565012131,0.0004371898656477802,0.0358132241480551,1.139703464064713,1.0162418022606732,1.3366069807742365
brfss2024|health_plan,BRFSS 2024,health_plan,24,0.010009715279276632,0.012705978437364818,0.0016500194914068622,0.03720239772048706,0.017140652124097544,0.013088161599609072,8.25803935526892e-05,0.0433401165594941,1.0289989608655234,1.0009268579191688,1.2460716656354696
nhis2024|sex,NHIS 2024,sex,24,0.012323902471113923,0.005378205253758317,0.0002319979725863286,0.018405419826574954,0.0010728303730596078,0.005474907646526195,7.745925424873512e-05,0.02601430123004711,1.1449810617386968,1.0148592771477192,1.1902298375521292
nhis2024|income,NHIS 2024,income,24,0.014235416191619832,0.015507860876142365,0.002810815522896415,0.0375216412159014,0.02169729742340487,0.029296233395741778,0.015519521209450993,0.04032431435898742,1.1397181007631756,1.0368925852473543,1.2616017613141426
brfss2024|income,BRFSS 2024,income,24,0.01513434132896152,0.034775609869642954,0.006758372045700067,0.07760984245330105,0.02674862895146135,0.03318151663838881,0.0074605253953322626,0.059977842033359985,1.0626965192521916,1.0445021340116956,1.4690093487664302
nhanes2123|race,NHANES 21-23,race,24,0.021882149102849136,0.020631430918777116,0.0035366826433661513,0.05763177669224906,0.020300955311715274,0.0242302679024054,0.0029933644118791403,0.04759668718168031,1.316005146392062,1.1695934710313294,1.778644250893176
brfss2024|sex,BRFSS 2024,sex,24,0.02381413878195937,0.021686380190274246,0.012112542271955906,0.03737678077629847,0.022277635563224152,0.022435506259014637,0.014832488041422565,0.030844679936761987,1.1130054617947456,1.0433457267623822,1.197125355151821
nhis2023|race,NHIS 2023,race,24,0.02491798828225611,0.032116448797012476,0.021745265682600157,0.07041945151555196,0.049537202085961685,0.06153341930943229,0.032625879780844524,0.10252556078975106,1.1856833348739897,1.1144689254871951,1.4753259021787835
diabetes130|race,Diabetes 130,race,24,0.02776386527339103,0.02443663935081558,0.011090116340680245,0.04637494849938717,0.03311990286800104,0.027583651610959603,0.009601055859456142,0.046728798774919644,1.2400488097604687,1.0890936089557801,1.6933934866443328
nhanes2123|age_group,NHANES 21-23,age_group,24,0.03391870397786512,0.03394650500046009,0.0046448093696809245,0.11214148610538033,0.020414103313996623,0.026814057490507415,0.0051950817497268265,0.07170713097161308,1.60152271596277,1.1324688095163222,2.4091919373932917
nhis2024|insurance,NHIS 2024,insurance,12,0.03457945374733851,0.01231489503238864,0.0010391009657910732,0.061006355360272324,0.01363954729515604,0.017976574249998767,0.0021472627341050377,0.0389491250013152,1.3218570610626625,1.0646765546632642,1.4287520833189966
brfss2024|age_group,BRFSS 2024,age_group,24,0.05680441961789218,0.09575437218638089,0.021313256699344918,0.15381174192624836,0.08978923392179328,0.09921036895414792,0.013134947174496703,0.2047926981176712,1.2846866285651966,1.1676655803135985,1.9223056350479828
nhis2024|age_group,NHIS 2024,age_group,24,0.0571153514617887,0.0702886918273326,0.019075502079938245,0.1780848827579239,0.07432756646034788,0.1082006354146765,0.01817848213760398,0.1640782535092291,1.362415052575245,1.0225991058876507,2.2960092025058585
brfss2024|race,BRFSS 2024,race,24,0.05839672851952471,0.04340433868025667,0.027882184165151536,0.09580957605834417,0.059756110973522625,0.05381571011410902,0.02947856824139361,0.08935616620878284,1.334656893362393,1.1724975968958664,1.6500036684477803
nhis2023|age_group,NHIS 2023,age_group,24,0.06933710064767007,0.08484487725485973,0.028679347180189163,0.13828333758384326,0.09646351658271668,0.10995143316720896,0.02331857835329698,0.1846855530705228,1.3480698335769468,1.2195069195636243,1.8080960703904456
diabetes130|age_group,Diabetes 130,age_group,24,0.17297377871458808,0.1541310667705219,0.11661151930160929,0.2187010327163138,0.2018027811512555,0.1833660021630636,0.125668785667446,0.23984869717751167,3.3035828296356273,1.9993308996103427,6.388246388109738
