row_type,family,geometry,sd_ratio,equalize_prevalence,lp_dist,n,prevalence,n_levels,scales,unfair_w,miscal_slope,miscal_intercept,true_auc_by_level,oracle_auc_by_level,prevalence_by_level,true_auc_gap,true_max_excess_auc,prevalence_ratio,rule,method,is_one_of_the_five,n_sims,n_perm,alpha,seed,geometry_seed_word,pythonhashseed,n_evaluable,n_flag,flag_rate,flag_rate_mc_se,mean_n_admissible_p0,frac_reps_with_level_dropped,description
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,calibration_cox,False,1000,999,0.05,42,2114898310,0,1000,56,0.056,0.007270763371201128,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,diciccio2020,True,1000,999,0.05,42,2114898310,0,1000,55,0.055,0.00720936890441875,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,fixed_threshold_005,True,1000,999,0.05,42,2114898310,0,1000,295,0.295,0.01442133835675455,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,four_fifths,True,1000,999,0.05,42,2114898310,0,1000,0,0.0,0.0,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,lum2022,True,1000,999,0.05,42,2114898310,0,1000,82,0.082,0.008676174272108648,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,lum2022_bootstrapCI,True,1000,999,0.05,42,2114898310,0,0,0,,,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,lum2022_cochranQ,True,1000,999,0.05,42,2114898310,0,0,0,,,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,mbc_excess,False,1000,999,0.05,42,2114898310,0,1000,19,0.0190539769378749,0.004323300001240467,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1000,1.0,False,normal,2000,0.2,3,1/1/1,,,,0.744643/0.744643/0.744643,0.744643/0.744643/0.744643,0.2/0.2/0.2,0.0,0.0,1.0,m30,permutation_null,True,1000,999,0.05,42,2114898310,0,1000,56,0.056,0.007270763371201128,3.0,0.0,SD-ratio sweep at 1.000: per-level linear-predictor SD 1.000/1.000/1.000
cell,sd_ratio_sweep,sweep_sdr_1100,1.1,False,normal,2000,0.2,3,0.953463/1/1.04881,,,,0.736039/0.744645/0.753337,0.736039/0.744645/0.753337,0.196927/0.199937/0.203145,0.017298914916666686,0.0,1.031573361937666,m30,calibration_cox,False,1000,999,0.05,42,2144117681,0,1000,47,0.047,0.006692607862410586,3.0,0.0,SD-ratio sweep at 1.100: per-level linear-predictor SD 0.953/1.000/1.049
cell,sd_ratio_sweep,sweep_sdr_1100,1.1,False,normal,2000,0.2,3,0.953463/1/1.04881,,,,0.736039/0.744645/0.753337,0.736039/0.744645/0.753337,0.196927/0.199937/0.203145,0.017298914916666686,0.0,1.031573361937666,m30,diciccio2020,True,1000,999,0.05,42,2144117681,0,1000,69,0.069,0.008014923580421713,3.0,0.0,SD-ratio sweep at 1.100: per-level linear-predictor SD 0.953/1.000/1.049
