cohort,cohort_label,is_clinical,n_test,rule,partition,n_levels_admissible,level,level_n,level_n_pos,level_prevalence,level_lp_sd,level_lp_iqr,level_lp_mean,level_auc,partition_sd_ratio,partition_iqr_ratio,partition_min_lp_sd,partition_max_lp_sd,partition_observed_auc_gap,partition_level_prevalence_ratio
diabetes130,Diabetes 130,True,19890,m30,race,5,0,3809,437,0.11472827513783145,0.57032239379436,0.6834223691348069,-2.1759750722299764,0.6261065009731508,1.2400488097604687,1.1726030814317538,0.4599193106798152,0.57032239379436,0.1235725710459753,1.8250182550673548
diabetes130,Diabetes 130,True,19890,m30,race,5,1,96,8,0.08333333333333333,0.4599193106798152,0.606748590844894,-2.3868338461409944,0.7244318181818182,1.2400488097604687,1.1726030814317538,0.4599193106798152,0.57032239379436,0.1235725710459753,1.8250182550673548
diabetes130,Diabetes 130,True,19890,m30,race,5,2,15275,1803,0.11803600654664484,0.49945451074147235,0.5828249814083253,-2.163915784346839,0.6410663130069572,1.2400488097604687,1.1726030814317538,0.4599193106798152,0.57032239379436,0.1235725710459753,1.8250182550673548
diabetes130,Diabetes 130,True,19890,m30,race,5,3,402,26,0.06467661691542288,0.48141173743303495,0.6819569390668112,-2.332965518238077,0.6008592471358429,1.2400488097604687,1.1726030814317538,0.4599193106798152,0.57032239379436,0.1235725710459753,1.8250182550673548
diabetes130,Diabetes 130,True,19890,m30,race,5,4,308,32,0.1038961038961039,0.46371471458102054,0.6021610067073773,-2.2989290292849485,0.683990036231884,1.2400488097604687,1.1726030814317538,0.4599193106798152,0.57032239379436,0.1235725710459753,1.8250182550673548
diabetes130,Diabetes 130,True,19890,m30,gender,2,0,10590,1234,0.11652502360717658,0.5184714908140527,0.6016365568099584,-2.1555983362062516,0.6454490934149504,1.0215101992692017,1.0041151678932327,0.5075539051739006,0.5184714908140527,0.01348071459925726,1.0108980592786774
diabetes130,Diabetes 130,True,19890,m30,gender,2,1,9300,1072,0.11526881720430107,0.5075539051739006,0.6041123922519378,-2.1924058714170696,0.6319683788156931,1.0215101992692017,1.0041151678932327,0.5075539051739006,0.5184714908140527,0.01348071459925726,1.0108980592786774
diabetes130,Diabetes 130,True,19890,m30,age_group,9,1,130,11,0.08461538461538462,0.6471690459709021,0.7774994467926093,-2.972056626740284,0.7440794499618029,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,m30,age_group,9,2,381,65,0.17060367454068243,1.1208369664099294,1.6969942590845268,-1.9156269976950997,0.7872444011684518,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,m30,age_group,9,3,751,72,0.09587217043941411,0.6853683965237406,0.8936623971945257,-2.2435392676225394,0.6990877106856488,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,m30,age_group,9,4,1815,218,0.12011019283746556,0.6636933354887317,0.8524582185849228,-2.2829047678770693,0.7074043648354426,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,m30,age_group,9,5,3384,322,0.09515366430260047,0.5672258755932719,0.7333661094855344,-2.3226641416935525,0.652951831912727,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,m30,age_group,9,6,4392,505,0.11498178506375227,0.4402812779130659,0.5621694410968472,-2.1758259303900385,0.6155410138389708,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,m30,age_group,9,7,5109,631,0.12350753572127618,0.3909608568416338,0.4712067059605358,-2.088506124474632,0.6113273273315785,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,m30,age_group,9,8,3273,416,0.12710051940116102,0.3676586810494407,0.4307047534666548,-2.0626611883653765,0.5880769399046876,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,m30,age_group,9,9,624,66,0.10576923076923077,0.33927920812373075,0.4462897308556051,-2.135254983108565,0.5711958292603453,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,race,4,0,3809,437,0.11472827513783145,0.57032239379436,0.6834223691348069,-2.1759750722299764,0.6261065009731508,1.2298992804437154,1.1726030814317538,0.46371471458102054,0.57032239379436,0.0831307890960411,1.8250182550673548
diabetes130,Diabetes 130,True,19890,ev10,race,4,2,15275,1803,0.11803600654664484,0.49945451074147235,0.5828249814083253,-2.163915784346839,0.6410663130069572,1.2298992804437154,1.1726030814317538,0.46371471458102054,0.57032239379436,0.0831307890960411,1.8250182550673548
diabetes130,Diabetes 130,True,19890,ev10,race,4,3,402,26,0.06467661691542288,0.48141173743303495,0.6819569390668112,-2.332965518238077,0.6008592471358429,1.2298992804437154,1.1726030814317538,0.46371471458102054,0.57032239379436,0.0831307890960411,1.8250182550673548
diabetes130,Diabetes 130,True,19890,ev10,race,4,4,308,32,0.1038961038961039,0.46371471458102054,0.6021610067073773,-2.2989290292849485,0.683990036231884,1.2298992804437154,1.1726030814317538,0.46371471458102054,0.57032239379436,0.0831307890960411,1.8250182550673548
diabetes130,Diabetes 130,True,19890,ev10,gender,2,0,10590,1234,0.11652502360717658,0.5184714908140527,0.6016365568099584,-2.1555983362062516,0.6454490934149504,1.0215101992692017,1.0041151678932327,0.5075539051739006,0.5184714908140527,0.01348071459925726,1.0108980592786774
diabetes130,Diabetes 130,True,19890,ev10,gender,2,1,9300,1072,0.11526881720430107,0.5075539051739006,0.6041123922519378,-2.1924058714170696,0.6319683788156931,1.0215101992692017,1.0041151678932327,0.5075539051739006,0.5184714908140527,0.01348071459925726,1.0108980592786774
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,1,130,11,0.08461538461538462,0.6471690459709021,0.7774994467926093,-2.972056626740284,0.7440794499618029,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,2,381,65,0.17060367454068243,1.1208369664099294,1.6969942590845268,-1.9156269976950997,0.7872444011684518,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,3,751,72,0.09587217043941411,0.6853683965237406,0.8936623971945257,-2.2435392676225394,0.6990877106856488,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,4,1815,218,0.12011019283746556,0.6636933354887317,0.8524582185849228,-2.2829047678770693,0.7074043648354426,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,5,3384,322,0.09515366430260047,0.5672258755932719,0.7333661094855344,-2.3226641416935525,0.652951831912727,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,6,4392,505,0.11498178506375227,0.4402812779130659,0.5621694410968472,-2.1758259303900385,0.6155410138389708,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,7,5109,631,0.12350753572127618,0.3909608568416338,0.4712067059605358,-2.088506124474632,0.6113273273315785,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,8,3273,416,0.12710051940116102,0.3676586810494407,0.4307047534666548,-2.0626611883653765,0.5880769399046876,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
diabetes130,Diabetes 130,True,19890,ev10,age_group,9,9,624,66,0.10576923076923077,0.33927920812373075,0.4462897308556051,-2.135254983108565,0.5711958292603453,3.3035828296356273,3.940040701723781,0.33927920812373075,1.1208369664099294,0.21604857190810656,2.0162252445717015
