cohort,builder,wrapper_class,estimator_class,estimator_module,is_gradient_boosted_tree,is_linear_model,n_features,n_train,n_test,prevalence_test,test_auroc,test_size,split_random_state,split_stratified,hp_n_estimators,hp_max_depth,hp_learning_rate,hp_subsample,hp_colsample_bytree,hp_eval_metric,hp_random_state,hp_seed,hp_objective,hp_reg_alpha,hp_reg_lambda,hp_min_child_weight,hp_gamma,all_hyperparameters_json,xgboost_importable,xgboost_version,hp_max_iter,hp_C,hp_penalty,hp_solver,hp_class_weight,hp_fit_intercept,hp_tol
synthetic,rised.datasets.train_baseline_model,XGBClassifier,XGBClassifier,xgboost.sklearn,True,False,20,8000,2000,0.3,0.9609511904761905,0.2,42,True,200.0,4.0,0.05,0.8,0.8,,42,,binary:logistic,,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": null, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",True,3.2.0,,,,,,,
uci_heart,recompute.cohorts._xgb,XGBClassifier,XGBClassifier,xgboost.sklearn,True,False,13,242,61,0.5409836065573771,0.8668831168831168,0.2,42,True,200.0,4.0,0.05,0.8,0.8,logloss,42,42.0,binary:logistic,,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": null, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""seed"": 42, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",True,3.2.0,,,,,,,
diabetes130,recompute.cohorts._xgb,XGBClassifier,XGBClassifier,xgboost.sklearn,True,False,14,79602,19890,0.1159376571141277,0.6391657548413878,0.2,42,True,200.0,4.0,0.05,0.8,0.8,logloss,42,42.0,binary:logistic,,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": null, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""seed"": 42, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",True,3.2.0,,,,,,,
nhis2024,recompute.cohorts._xgb,XGBClassifier,XGBClassifier,xgboost.sklearn,True,False,19,7797,1950,0.07487179487179488,0.8362998511678766,0.2,42,True,200.0,4.0,0.05,0.8,0.8,logloss,42,42.0,binary:logistic,,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": null, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""seed"": 42, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",True,3.2.0,,,,,,,
nhis2023,recompute.cohorts._xgb,XGBClassifier,XGBClassifier,xgboost.sklearn,True,False,14,21691,5423,0.11174626590448092,0.8387204352571442,0.2,42,True,200.0,4.0,0.05,0.8,0.8,logloss,42,42.0,binary:logistic,,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": null, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""seed"": 42, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",True,3.2.0,,,,,,,
nhanes2123,recompute.cohorts._xgb,XGBClassifier,XGBClassifier,xgboost.sklearn,True,False,14,3276,820,0.13048780487804879,0.9638882699138823,0.2,42,True,200.0,4.0,0.05,0.8,0.8,logloss,42,42.0,binary:logistic,,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": null, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""seed"": 42, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",True,3.2.0,,,,,,,
brfss2024,recompute.cohorts._xgb,XGBClassifier,XGBClassifier,xgboost.sklearn,True,False,19,35910,8978,0.21073735798618845,0.767387074474338,0.2,42,True,200.0,4.0,0.05,0.8,0.8,logloss,42,42.0,binary:logistic,,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": null, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""seed"": 42, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",True,3.2.0,,,,,,,
adult_income,recompute.cohorts._logreg,Pipeline,LogisticRegression,sklearn.linear_model._logistic,False,True,10,36177,9045,0.2478717523493643,0.8901892734262303,0.2,42,True,,,,,,,42,,,,,,,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",True,3.2.0,1000.0,1.0,deprecated,lbfgs,,True,0.0001
acs_income,recompute.cohorts._logreg,Pipeline,LogisticRegression,sklearn.linear_model._logistic,False,True,10,16000,4000,0.4105,0.8655797921192941,0.2,42,True,,,,,,,42,,,,,,,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",True,3.2.0,1000.0,1.0,deprecated,lbfgs,,True,0.0001
german_credit,recompute.cohorts._logreg,Pipeline,LogisticRegression,sklearn.linear_model._logistic,False,True,11,800,200,0.7,0.6545238095238095,0.2,42,True,,,,,,,42,,,,,,,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",True,3.2.0,1000.0,1.0,deprecated,lbfgs,,True,0.0001
