cohort,n_test,n_partitions,n_included_subgroups,observed_gap_per_partition,cohort_null_mean,cohort_null_p95,p_value,excess_over_null_mean,exceeds_null_p95,observed_gap_pooled_old,pooled_null_mean,pooled_null_p95,pooled_p_value,p2_generic_null_mean_10x500,p2_generic_null_p95_10x500
synthetic,2000,4,14,0.04555480059793182,0.034530550249083566,0.05715197649572652,0.15742128935532235,0.011024250348848255,False,0.05876255839064792,0.03804561514766104,0.061419371116419375,0.06846576711644178,0.08887413961480663,0.1304391085449873
uci_heart,61,2,1,,,,,,,0.11833333333333329,0.19964445031003852,0.35185185185185186,0.8600699650174912,0.08887413961480663,0.1304391085449873
diabetes130,19890,3,16,0.21604857190810633,0.1547456716909847,0.26109372540569553,0.15342328835582209,0.06130290021712165,False,0.21604857190810633,0.1732858028955187,0.2926387032085561,0.2413793103448276,0.08887413961480663,0.1304391085449873
nhis2024,1950,5,19,0.3279162152401589,0.2107122575169089,0.35686120149639633,0.08695652173913043,0.11720395772325001,False,0.3279162152401589,0.24301278028073592,0.3954381858155231,0.1469265367316342,0.08887413961480663,0.1304391085449873
nhis2023,5423,4,15,0.1290037831021439,0.18673186818024715,0.35169493016026965,0.7406296851574213,-0.05772808507810326,False,0.18339551812768162,0.19589956169952877,0.353125,0.4862568715642179,0.08887413961480663,0.1304391085449873
nhanes2123,820,4,13,0.07484407484407485,0.06850226152356599,0.11773719245028645,0.3118440779610195,0.006341813320508857,False,0.07484407484407485,0.07625370267496191,0.1263754606777047,0.42828585707146427,0.08887413961480663,0.1304391085449873
brfss2024,8978,5,24,0.22373194766285143,0.14704815002970723,0.2337157604724026,0.06646676661669165,0.0766837976331442,False,0.23344259342261564,0.16516386618711232,0.25239463681453667,0.08995502248875563,0.08887413961480663,0.1304391085449873
adult_income,9045,3,9,0.08080979653560305,0.07171586468473523,0.13597444801255829,0.3458270864567716,0.00909393185086782,False,0.10805696843211499,0.07241449218183026,0.13610652422509037,0.127936031984008,0.08887413961480663,0.1304391085449873
acs_income,4000,3,6,0.052729798215596646,0.015502212693115362,0.027716888162658573,0.0004997501249375312,0.03722758552248129,True,0.052729798215596646,0.016013363999535877,0.02805641297295623,0.0004997501249375312,0.08887413961480663,0.1304391085449873
german_credit,200,2,4,0.02913943691975729,0.10456198029923516,0.20699999999999996,0.9420289855072463,-0.07542254337947787,False,0.05871980676328503,0.10749928830976285,0.21099999999999997,0.7901049475262368,0.08887413961480663,0.1304391085449873
