cohort,is_clinical,n_test,prevalence,n_reps,observed_gap,old_null_mean,old_null_median,old_null_skew,old_null_p95_mde,old_p_value,old_p_mc_se,old_p_report,old_p_holm,old_p_bh,new_null_mean,new_null_median,new_null_skew,new_null_p95_mde,new_p_value,new_p_mc_se,new_p_report,new_p_holm,new_p_bh,delta_p,null_p95_shrinkage,sig_old_raw,sig_new_raw,sig_new_holm,sig_new_bh
synthetic,False,2000,0.3,10000,0.04555480059793182,0.03430957122375262,0.03224341792872493,1.1530595850938317,0.05710708984909837,0.15658434156584342,0.003633287079216285,0.1566,0.9017098290170984,0.2818518148185182,0.03445831390852603,0.03247111948318093,1.0096376442446606,0.057541953976156066,0.1650834916508349,0.0037118054905934932,0.1651,0.9239076092390761,0.29715028497150286,0.008499150084991497,-0.0004348641270576978,False,False,False,False
uci_heart,True,61,0.5409836065573771,10000,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
diabetes130,True,19890,0.1159376571141277,10000,0.21604857190810645,0.15566766757699457,0.1474386844166951,0.7790881723775978,0.2630055194262145,0.15028497150284972,0.003572673508732641,0.1503,0.9017098290170984,0.2818518148185182,0.15629664490348588,0.14805158691761267,0.765536943946131,0.26492134402987916,0.15398460153984603,0.0036085286475238077,0.1540,0.9239076092390761,0.29715028497150286,0.003699630036996304,-0.0019158246036646842,False,False,False,False
nhis2024,True,1950,0.07487179487179488,10000,0.3279162152401589,0.21129335760268464,0.1960093896713615,1.2437695243553661,0.364292557671611,0.08499150084991501,0.0027873282906754992,0.0850,0.5949405059494051,0.254974502549745,0.21005652236797367,0.19304852365308967,1.274866583115412,0.3655900144456478,0.08739126087391261,0.002822741752268528,0.0874,0.6117388261173883,0.26217378262173785,0.0023997600239975964,-0.0012974567740368093,False,False,False,False
nhis2023,True,5423,0.11174626590448092,10000,0.12900378310214378,0.18760324921890797,0.17121144298024316,1.2389109933806552,0.34570755832282457,0.7557244275572442,0.004296713976982875,0.7557,1.0,0.8501899810018998,0.18689802581184825,0.17053412612413743,1.3166118062940635,0.351923295544885,0.7422257774222578,0.0043742331899431245,0.7422,1.0,0.83500399960004,-0.013498650134986412,-0.0062157372220604246,False,False,False,False
nhanes2123,True,820,0.13048780487804879,10000,0.07484407484407485,0.06830974380799207,0.06260862403067746,1.4800493186119565,0.11581195788747421,0.3097690230976902,0.00462369884399925,0.3098,1.0,0.4318282457468539,0.06803752801419656,0.062356874140863106,1.5184829683740582,0.11739248068649667,0.3093690630936906,0.004622050518979644,0.3094,1.0,0.4379990572371335,-0.00039996000399961096,-0.0015805227990224602,False,False,False,False
brfss2024,True,8978,0.21073735798618845,10000,0.22373194766285143,0.14670438930961988,0.1403122601228171,0.753012934824905,0.23313897988866583,0.06579342065793421,0.0024775695752087368,0.0658,0.5263473652634737,0.254974502549745,0.14632600295264603,0.13982900741956955,0.8147488794631162,0.23345553056241047,0.0685931406859314,0.002526019596123514,0.0686,0.5487451254874512,0.26217378262173785,0.0027997200279971934,-0.0003165506737446422,False,False,False,False
adult_income,False,9045,0.2478717523493643,10000,0.08080979653560305,0.07187756571249011,0.06642340602756325,1.0478348923528862,0.13803087293972113,0.33586641335866413,0.00472269372286622,0.3359,1.0,0.4318282457468539,0.07220802870979043,0.06664227790988364,1.0691780179601729,0.13941067547243804,0.34066593340665935,0.004739110043035507,0.3407,1.0,0.4379990572371335,0.0047995200479952205,-0.0013798025327169117,False,False,False,False
acs_income,False,4000,0.4105,10000,0.052729798215596535,0.015753139740639823,0.01508056719809453,0.5930742218997563,0.028098232460475988,9.999000099990002e-05,0.0,<= 1.00e-04,0.0008999100089991002,0.0008999100089991002,0.015696957717016208,0.015056707755948806,0.6472283674863708,0.028158045767930896,9.999000099990002e-05,0.0,<= 1.00e-04,0.0008999100089991002,0.0008999100089991002,0.0,-5.9813307454907594e-05,True,True,True,True
german_credit,False,200,0.7,10000,0.02913943691975729,0.1037802106972533,0.09724999999999995,0.6713102925544481,0.20624999999999993,0.9388061193880612,0.002396968084893915,0.9388,1.0,0.9388061193880612,0.10276949473632671,0.09575,0.6867330835994526,0.20424999999999993,0.9357064293570643,0.0024528658748492554,0.9357,1.0,0.9357064293570643,-0.003099690030996971,0.0020000000000000018,False,False,False,False
