cohort,is_clinical,scheme,rule,rule_label,n_test,prevalence,n_levels_admitted,n_partitions_usable,observed_gap,null_mean,null_median,null_sd,null_skew,null_p95_mde,null_frac_below_own_mean,p_value,p_mc_se,p_report,p_is_floor,n_reps,exceeds_null_p95,exceeds_null_median,p_holm,p_bh,sig_raw,sig_holm,sig_bh
synthetic,False,independent,m20,n >= 20,2000,0.3,14,4,0.04555480059793182,0.03430957122375262,0.03224341792872493,0.012276204889551084,1.1530595850938317,0.05710708984909837,0.57,0.15658434156584342,0.003633287079216285,0.1566,False,10000,False,True,0.9017098290170984,0.2818518148185182,False,False,False
synthetic,False,independent,m30,n >= 30 (published default),2000,0.3,14,4,0.04555480059793182,0.03430957122375262,0.03224341792872493,0.012276204889551084,1.1530595850938317,0.05710708984909837,0.57,0.15658434156584342,0.003633287079216285,0.1566,False,10000,False,True,0.9017098290170984,0.2818518148185182,False,False,False
synthetic,False,independent,m50,n >= 50,2000,0.3,14,4,0.04555480059793182,0.03430957122375262,0.03224341792872493,0.012276204889551084,1.1530595850938317,0.05710708984909837,0.57,0.15658434156584342,0.003633287079216285,0.1566,False,10000,False,True,0.9017098290170984,0.2818518148185182,False,False,False
synthetic,False,independent,m100,n >= 100,2000,0.3,13,4,0.04555480059793182,0.029639049643777133,0.02797279353909743,0.01058046725875588,1.178401261758526,0.04901725541596564,0.5661,0.07479252074792521,0.002629066564391248,0.0748,False,10000,False,True,0.2574742525747425,0.0967903209679032,False,False,False
synthetic,False,independent,ev10,n_pos >= 10 and n_neg >= 10,2000,0.3,14,4,0.04555480059793182,0.03430957122375262,0.03224341792872493,0.012276204889551084,1.1530595850938317,0.05710708984909837,0.57,0.15658434156584342,0.003633287079216285,0.1566,False,10000,False,True,0.4697530246975302,0.20132272487037012,False,False,False
synthetic,False,joint,m20,n >= 20,2000,0.3,14,4,0.04555480059793182,0.03445831390852603,0.03247111948318093,0.012212502173297958,1.0096376442446606,0.057541953976156066,0.5661,0.1650834916508349,0.0037118054905934932,0.1651,False,10000,False,True,0.9239076092390761,0.29715028497150286,False,False,False
synthetic,False,joint,m30,n >= 30 (published default),2000,0.3,14,4,0.04555480059793182,0.03445831390852603,0.03247111948318093,0.012212502173297958,1.0096376442446606,0.057541953976156066,0.5661,0.1650834916508349,0.0037118054905934932,0.1651,False,10000,False,True,0.9239076092390761,0.29715028497150286,False,False,False
synthetic,False,joint,m50,n >= 50,2000,0.3,14,4,0.04555480059793182,0.03445831390852603,0.03247111948318093,0.012212502173297958,1.0096376442446606,0.057541953976156066,0.5661,0.1650834916508349,0.0037118054905934932,0.1651,False,10000,False,True,0.9239076092390761,0.29715028497150286,False,False,False
synthetic,False,joint,m100,n >= 100,2000,0.3,13,4,0.04555480059793182,0.02949160133953325,0.027765211646685772,0.01048748705293953,1.0009005828867326,0.049115774668739336,0.5703,0.0781921807819218,0.0026832888402108335,0.0782,False,10000,False,True,0.252974702529747,0.1042562410425624,False,False,False
synthetic,False,joint,ev10,n_pos >= 10 and n_neg >= 10,2000,0.3,14,4,0.04555480059793182,0.03445831390852603,0.03247111948318093,0.012212502173297958,1.0096376442446606,0.057541953976156066,0.5661,0.1650834916508349,0.0037118054905934932,0.1651,False,10000,False,True,0.49525047495250474,0.21225020355107346,False,False,False
uci_heart,True,independent,m20,n >= 20,61,0.5409836065573771,2,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,independent,m30,n >= 30 (published default),61,0.5409836065573771,1,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,independent,m50,n >= 50,61,0.5409836065573771,0,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,independent,m100,n >= 100,61,0.5409836065573771,0,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,independent,ev10,n_pos >= 10 and n_neg >= 10,61,0.5409836065573771,2,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,joint,m20,n >= 20,61,0.5409836065573771,2,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,joint,m30,n >= 30 (published default),61,0.5409836065573771,1,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,joint,m50,n >= 50,61,0.5409836065573771,0,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,joint,m100,n >= 100,61,0.5409836065573771,0,0,,,,,,,,,,,,10000,,,,,False,False,False
uci_heart,True,joint,ev10,n_pos >= 10 and n_neg >= 10,61,0.5409836065573771,2,0,,,,,,,,,,,,10000,,,,,False,False,False
diabetes130,True,independent,m20,n >= 20,19890,0.1159376571141277,16,3,0.21604857190810645,0.15566766757699457,0.1474386844166951,0.05780028833520488,0.7790881723775978,0.2630055194262145,0.5546,0.15028497150284972,0.003572673508732641,0.1503,False,10000,False,True,0.9017098290170984,0.2818518148185182,False,False,False
diabetes130,True,independent,m30,n >= 30 (published default),19890,0.1159376571141277,16,3,0.21604857190810645,0.15566766757699457,0.1474386844166951,0.05780028833520488,0.7790881723775978,0.2630055194262145,0.5546,0.15028497150284972,0.003572673508732641,0.1503,False,10000,False,True,0.9017098290170984,0.2818518148185182,False,False,False
