method,permutation_scheme,cohort,cohort_label,is_clinical,n_test,conclusion_m20,conclusion_m30,conclusion_m50,conclusion_m100,conclusion_ev10,p_m20,p_m30,p_m50,p_m100,p_ev10,stat_m20,stat_m30,stat_m50,stat_m100,stat_ev10,n_rules_evaluable,n_distinct_verdicts,verdict_constant,verdict_constant_strict,n_rules_differing_from_m30,differs_from_m30,rules_flagged,p_min,p_max,p_range,p_straddles_alpha
diciccio2020,joint,diabetes130,Diabetes 130,True,19890,flag,flag,flag,flag,flag,0.0038996100389961,0.0038996100389961,0.0038996100389961,0.0011998800119988,0.0011998800119988,5.882265422596609,5.882265422596609,5.882265422596609,5.882265422596609,5.882265422596609,5,1,True,True,0,False,m20;m30;m50;m100;ev10,0.0011998800119988,0.0038996100389961,0.0026997300269973002,False
fixed_threshold_005,,diabetes130,Diabetes 130,True,19890,flag,flag,flag,flag,flag,,,,,,0.2160485719081065,0.2160485719081065,0.2160485719081065,0.2160485719081065,0.2160485719081065,5,1,True,True,0,False,m20;m30;m50;m100;ev10,,,,False
four_fifths,,diabetes130,Diabetes 130,True,19890,flag,flag,flag,flag,flag,,,,,,0.725563533271954,0.725563533271954,0.725563533271954,0.725563533271954,0.725563533271954,5,1,True,True,0,False,m20;m30;m50;m100;ev10,,,,False
lum2022,,diabetes130,Diabetes 130,True,19890,flag,flag,flag,flag,flag,0.0042084522997818,0.0042084522997818,0.0042084522997818,0.0042084522997818,0.0042084522997818,0.0041268058180008,0.0041268058180008,0.0041268058180008,0.0041268058180008,0.0041268058180008,5,1,True,True,0,False,m20;m30;m50;m100;ev10,0.0042084522997818,0.0042084522997818,0.0,False
lum2022_bootstrapCI,,diabetes130,Diabetes 130,True,19890,flag,flag,flag,flag,flag,,,,,,0.0041268058180008,0.0041268058180008,0.0041268058180008,0.0041268058180008,0.0041268058180008,5,1,True,True,0,False,m20;m30;m50;m100;ev10,,,,False
lum2022_cochranQ,,diabetes130,Diabetes 130,True,19890,flag,flag,flag,flag,flag,1.6123767255555327e-10,1.6123767255555327e-10,1.6123767255555327e-10,1.6123767255555327e-10,1.6123767255555327e-10,0.0026267414376883,0.0026267414376883,0.0026267414376883,0.0026267414376883,0.0026267414376883,5,1,True,True,0,False,m20;m30;m50;m100;ev10,1.6123767255555327e-10,1.6123767255555327e-10,0.0,False
permutation_null,joint,diabetes130,Diabetes 130,True,19890,no_flag,no_flag,no_flag,no_flag,no_flag,0.153984601539846,0.153984601539846,0.153984601539846,0.0505949405059494,0.0505949405059494,0.2160485719081064,0.2160485719081064,0.2160485719081064,0.2160485719081064,0.2160485719081064,5,1,True,True,0,False,,0.0505949405059494,0.153984601539846,0.1033896610338966,False
diciccio2020,joint,brfss2024,BRFSS 2024,True,8978,flag,flag,flag,no_flag,flag,0.0051994800519948,0.0051994800519948,0.0051994800519948,0.1920807919208079,0.0016998300169983,7.051599791306185,7.051599791306185,7.051599791306185,2.9382859634229592,7.051599791306185,5,2,False,False,1,True,m20;m30;m50;ev10,0.0016998300169983,0.1920807919208079,0.1903809619038096,True
fixed_threshold_005,,brfss2024,BRFSS 2024,True,8978,flag,flag,flag,flag,flag,,,,,,0.2237319476628513,0.2237319476628513,0.2237319476628513,0.1136802115936941,0.2237319476628513,5,1,True,True,0,False,m20;m30;m50;m100;ev10,,,,False
four_fifths,,brfss2024,BRFSS 2024,True,8978,flag,flag,flag,no_flag,flag,,,,,,0.7645805625338653,0.7645805625338653,0.7645805625338653,0.8647151936164332,0.7645805625338653,5,2,False,False,1,True,m20;m30;m50;ev10,,,,False
lum2022,,brfss2024,BRFSS 2024,True,8978,flag,flag,flag,no_flag,flag,2.1271081627346623e-08,2.1271081627346623e-08,2.1271081627346623e-08,1.0,2.1271081627346623e-08,0.0042388174290236,0.0042388174290236,0.0042388174290236,0.0004117043320138,0.0042388174290236,5,2,False,False,1,True,m20;m30;m50;ev10,2.1271081627346623e-08,1.0,0.9999999787289183,True
lum2022_bootstrapCI,,brfss2024,BRFSS 2024,True,8978,flag,flag,flag,no_flag,flag,,,,,,0.0042388174290236,0.0042388174290236,0.0042388174290236,0.0004117043320138,0.0042388174290236,5,2,False,False,1,True,m20;m30;m50;ev10,,,,False
