method,permutation_scheme,cohort_set,n_cohorts,n_cohorts_with_any_verdict,n_cohorts_nonconstant_verdict,n_cohorts_nonconstant_strict,frac_cohorts_nonconstant,cohorts_nonconstant,n_flag_m20,n_flag_m30,n_flag_m50,n_flag_m100,n_flag_ev10,n_flag_is_constant,flagged_m20,flagged_m30,flagged_m50,flagged_m100,flagged_ev10,flagged_set_is_constant,jaccard_m20_vs_m30,jaccard_m30_vs_m30,jaccard_m50_vs_m30,jaccard_m100_vs_m30,jaccard_ev10_vs_m30,mean_jaccard_vs_m30,min_jaccard_vs_m30,jaccard_vacuous,cohorts_flagged_under_all_rules,cohorts_flagged_under_some_rule_only,stability_rank
fixed_threshold_005,,all,10,9,1,2,0.1111111111111111,nhanes2123,7,7,7,7,6,False,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024,acs_income;adult_income;brfss2024;diabetes130;nhis2023;nhis2024,False,1.0,1.0,1.0,1.0,0.8571428571428571,0.9642857142857143,0.8571428571428571,False,acs_income;adult_income;brfss2024;diabetes130;nhis2023;nhis2024,nhanes2123,1
four_fifths,,all,10,9,1,2,0.1111111111111111,brfss2024,3,3,3,2,3,False,brfss2024;diabetes130;nhis2024,brfss2024;diabetes130;nhis2024,brfss2024;diabetes130;nhis2024,diabetes130;nhis2024,brfss2024;diabetes130;nhis2024,False,1.0,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.6666666666666666,False,diabetes130;nhis2024,brfss2024,2
lum2022_bootstrapCI,,all,10,9,1,2,0.1111111111111111,brfss2024,2,2,2,1,2,False,brfss2024;diabetes130,brfss2024;diabetes130,brfss2024;diabetes130,diabetes130,brfss2024;diabetes130,False,1.0,1.0,1.0,0.5,1.0,0.875,0.5,False,diabetes130,brfss2024,3
lum2022_cochranQ,,all,10,9,2,3,0.2222222222222222,brfss2024;nhanes2123,8,8,8,6,7,False,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024;synthetic,acs_income;adult_income;diabetes130;nhis2023;nhis2024;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhis2023;nhis2024;synthetic,False,1.0,1.0,1.0,0.75,0.875,0.90625,0.75,False,acs_income;adult_income;diabetes130;nhis2023;nhis2024;synthetic,brfss2024;nhanes2123,4
lum2022,,all,10,9,3,4,0.3333333333333333,brfss2024;nhanes2123;nhis2024,6,6,6,4,6,False,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhanes2123;synthetic,acs_income;adult_income;diabetes130;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhis2024;synthetic,False,1.0,1.0,1.0,0.6666666666666666,0.7142857142857143,0.8452380952380952,0.6666666666666666,False,acs_income;adult_income;diabetes130;synthetic,brfss2024;nhanes2123;nhis2024,6
diciccio2020,joint,all,10,9,3,4,0.3333333333333333,brfss2024;nhis2023;nhis2024,6,6,6,6,6,True,acs_income;adult_income;brfss2024;diabetes130;nhis2024;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhis2024;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhis2024;synthetic,acs_income;adult_income;diabetes130;nhis2023;nhis2024;synthetic,acs_income;adult_income;brfss2024;diabetes130;nhis2023;synthetic,False,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.8571428571428572,0.7142857142857143,False,acs_income;adult_income;diabetes130;synthetic,brfss2024;nhis2023;nhis2024,5
permutation_null,joint,all,10,9,3,4,0.3333333333333333,adult_income;nhis2023;nhis2024,1,1,1,3,3,False,acs_income,acs_income,acs_income,acs_income;adult_income;nhis2023,acs_income;nhis2023;nhis2024,False,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3333333333333333,False,acs_income,adult_income;nhis2023;nhis2024,7
fixed_threshold_005,,clinical,6,5,1,1,0.2,nhanes2123,5,5,5,5,4,False,brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024,brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024,brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024,brfss2024;diabetes130;nhanes2123;nhis2023;nhis2024,brfss2024;diabetes130;nhis2023;nhis2024,False,1.0,1.0,1.0,1.0,0.8,0.95,0.8,False,brfss2024;diabetes130;nhis2023;nhis2024,nhanes2123,1
four_fifths,,clinical,6,5,1,1,0.2,brfss2024,3,3,3,2,3,False,brfss2024;diabetes130;nhis2024,brfss2024;diabetes130;nhis2024,brfss2024;diabetes130;nhis2024,diabetes130;nhis2024,brfss2024;diabetes130;nhis2024,False,1.0,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.6666666666666666,False,diabetes130;nhis2024,brfss2024,2
lum2022_bootstrapCI,,clinical,6,5,1,1,0.2,brfss2024,2,2,2,1,2,False,brfss2024;diabetes130,brfss2024;diabetes130,brfss2024;diabetes130,diabetes130,brfss2024;diabetes130,False,1.0,1.0,1.0,0.5,1.0,0.875,0.5,False,diabetes130,brfss2024,3
