cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_train,n_test,train_prevalence,test_prevalence,n_levels_admissible,partition_sd_ratio,partition_iqr_ratio,partition_min_lp_sd,partition_max_lp_sd,partition_observed_auc_gap,partition_level_prevalence_ratio,overall_auc,frac_lp_clipped,fit_runtime_s
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,published,False,,published,79602,19890,0.111341423582322,0.1159376571141277,5,1.2400488097604687,1.1726030814317538,0.4599193106798152,0.57032239379436,0.1235725710459753,1.8250182550673548,0.6391657548413877,0.0,0.0110899999854154
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,published,False,,published,79602,19890,0.111341423582322,0.1159376571141277,2,1.0215101992692015,1.0041151678932327,0.5075539051739006,0.5184714908140527,0.0134807145992572,1.0108980592786774,0.6391657548413877,0.0,0.0110899999854154
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,published,False,,published,79602,19890,0.111341423582322,0.1159376571141277,9,3.3035828296356278,3.940040701723781,0.3392792081237307,1.1208369664099294,0.2160485719081065,2.016225244571701,0.6391657548413877,0.0,0.0110899999854154
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,published,False,,published,79602,19890,0.111341423582322,0.1159376571141277,4,1.2298992804437154,1.1726030814317538,0.4637147145810205,0.57032239379436,0.0831307890960411,1.8250182550673548,0.6391657548413877,0.0,0.0110899999854154
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,published,False,,published,79602,19890,0.111341423582322,0.1159376571141277,2,1.0215101992692015,1.0041151678932327,0.5075539051739006,0.5184714908140527,0.0134807145992572,1.0108980592786774,0.6391657548413877,0.0,0.0110899999854154
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,published,False,,published,79602,19890,0.111341423582322,0.1159376571141277,9,3.3035828296356278,3.940040701723781,0.3392792081237307,1.1208369664099294,0.2160485719081065,2.016225244571701,0.6391657548413877,0.0,0.0110899999854154
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,42.0,xgb_published|s42,79602,19890,0.111341423582322,0.1159376571141277,5,1.240789469357846,1.1862247666909107,0.4585616210485351,0.5689784304486856,0.1408342322571045,1.8250182550673548,0.6397046130007016,0.0,0.5299609999638051
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,42.0,xgb_published|s42,79602,19890,0.111341423582322,0.1159376571141277,2,1.0232193749683842,1.0045035145357155,0.5054623542692237,0.5171988742054031,0.0116980517136591,1.0108980592786774,0.6397046130007016,0.0,0.5299609999638051
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,42.0,xgb_published|s42,79602,19890,0.111341423582322,0.1159376571141277,9,3.3097603284899724,4.025056695380713,0.3362303311374182,1.112841811233673,0.2231903797849082,2.016225244571701,0.6397046130007016,0.0,0.5299609999638051
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,42.0,xgb_published|s42,79602,19890,0.111341423582322,0.1159376571141277,4,1.231363016638416,1.1862247666909107,0.462072047609469,0.5689784304486856,0.0840881024810835,1.8250182550673548,0.6397046130007016,0.0,0.5299609999638051
