cohort,label,status,n_total,n_test,prevalence,auroc,brier,jss_old,jss_old_ci_lo,jss_old_ci_hi,jss_new,jss_new_ci_lo,jss_new_ci_hi,reliability_transition,auc_gap_pooled_old,auc_gap_pooled_new_diagnostic,auc_gap_per_partition_new,auc_gap_new_ci_lo,auc_gap_new_ci_hi,worst_partition,inclusivity_transition,max_tfr_old_wide,max_tfr_new_narrow,max_tfr_new_narrow_ci_lo,max_tfr_new_narrow_ci_hi,max_tfr_new_wide,sensitivity_transition,tau_ref_alt,max_tfr_alt_tau_narrow,equity_rho_old_ytrue,equity_rho_new,equity_proxy_new,equity_proxy_class,equity_evaluated_new,batch_scoring_ms_old,batch_scoring_ms_new,single_row_latency_ms_new,n_excluded_subgroups_new,clustered_resampling,null_mean_gap,null_p95_gap,gap_p_value_vs_null,gap_excess_over_null,gap_exceeds_null_p95,runtime_s
synthetic,"Synthetic baseline (Synthea-inspired, 10k)",ok,10000,2000,0.3,0.9609511904761905,0.07319256474056823,0.064375,0.057749999999999996,0.070375,0.01075,0.007391909735498081,0.014499999999999999,"artifact (was failing, now passing)",0.05876255839064792,0.05876255839064792,0.04555480059793182,0.03022398316686435,0.05618292925274034,insurance,"artifact (was failing, now passing)",0.199,0.079,0.068,0.09094241063869651,0.199,"artifact (was failing, now passing)",0.4640384465456008,0.076,0.7317374252323047,0.5994400209934476,cci_proxy,model_input,True,1.2142029957612976,1.2857059971429408,0.3763499844353646,1,False,0.034530550249083566,0.05715197649572652,0.15742128935532235,0.011024250348848255,False,145.75031169998692
uci_heart,UCI Heart Disease (Cleveland),ok,303,61,0.5409836065573771,0.8668831168831168,0.15034533349113555,0.0778688524590164,0.04098360655737705,0.12295081967213115,0.03278688524590164,0.00819672131147541,0.09016393442622951,"artifact (was failing, now passing)",0.11833333333333329,,,,,,not evaluable,0.3442622950819672,0.11475409836065574,0.03278688524590164,0.19672131147540983,0.3442622950819672,persists,0.8091410085803172,0.18032786885245902,0.6334070103184599,-0.38334104664974916,chol_proxy,model_input,True,0.6110700021963567,0.6401670008199289,0.4288500058464706,4,False,,,,,,14.937030599976424
diabetes130,UCI Diabetes 130-US Hospitals (grouped on patient_nbr),ok,99492,19890,0.1159376571141277,0.6391657548413878,0.09938419898659913,0.0008044243338360985,0.0005530417295123177,0.0010558069381598793,0.0008295625942684767,0.0003984974109360682,0.0018177539381675893,passed before and after,0.21604857190810633,0.21604857190810633,0.21604857190810633,0.1285768266594016,0.2980791295798432,age_group,persists,0.4838109602815485,0.014228255404725993,0.011520352283382333,0.018558675579599972,0.4838109602815485,"artifact (was failing, now passing)",0.1686272434684246,0.11573655103066868,0.1543393649883723,0.7574416863799052,n_inpatient_proxy,model_input,True,7.4811800016323105,5.4072659969097,0.467999983811751,1,True,0.1547456716909847,0.26109372540569553,0.15342328835582209,0.06130290021712165,False,2393.728950400022
nhis2024,"NCHS NHIS 2024 (Sample Adult, CHD/MI)",ok,9747,1950,0.07487179487179488,0.8362998511678766,0.062211963530895524,0.011282051282051281,0.008333333333333333,0.015,0.004615384615384615,0.0023076923076923075,0.00717948717948718,passed before and after,0.3279162152401589,0.3279162152401589,0.3279162152401589,0.25209526263654475,0.5956080371836912,age_group,persists,0.22512820512820514,0.05179487179487179,0.04205128205128205,0.06153846153846154,0.22512820512820514,"artifact (was failing, now passing)",0.2799415064469362,0.07333333333333333,0.30660374116933653,0.5046639581312446,genhlth_proxy,model_input,True,1.5531860006740317,1.6484480001963675,0.4391999973449856,3,False,0.2107122575169089,0.35686120149639633,0.08695652173913043,0.11720395772325001,False,253.64123439998366
nhis2023,"NCHS NHIS 2023 (Sample Adult, diabetes)",ok,27114,5423,0.11174626590448092,0.8387204352571442,0.08142560208806997,0.016872579752904297,0.014475382629540843,0.019295819263820763,0.003964595242485709,0.00267379679144385,0.0055319933616079665,passed before and after,0.18339551812768162,0.18339551812768162,0.1290037831021439,0.06534558848430541,0.17377940366475994,race,persists,0.3254656094412687,0.09293748847501383,0.08481098793817174,0.10012907984510419,0.3254656094412687,"artifact (was failing, now passing)",0.32328474106174016,0.11174626590448092,0.36967244154055295,0.7242601918347403,genhlth_proxy,model_input,True,2.9381109989481047,2.8721229982329533,0.5050000036135316,0,False,0.18673186818024715,0.35169493016026965,0.7406296851574213,-0.05772808507810326,False,475.5903474999941
nhanes2123,"NCHS NHANES 2021-2023 (diabetes, with lab HbA1c)",ok,4096,820,0.13048780487804879,0.9638882699138823,0.03983207078899879,0.026524390243902442,0.019817073170731708,0.03323170731707317,0.010365853658536586,0.0060975609756097554,0.015853658536585366,passed before and after,0.07484407484407485,0.07484407484407485,0.07484407484407485,0.03771781373233712,0.14309906526575988,age_group,persists,0.0975609756097561,0.02926829268292683,0.01951219512195122,0.04024390243902439,0.0975609756097561,passed before and after,0.4506258489518631,0.02926829268292683,0.5412864284296152,0.8256992781512542,hba1c_proxy,outcome_defining,True,0.8798270020633936,0.823546999017708,0.44239999260753393,0,False,0.06850226152356599,0.11773719245028645,0.3118440779610195,0.006341813320508857,False,109.98896329995478
brfss2024,CDC BRFSS 2024 (CHD/MI),ok,44888,8978,0.21073735798618845,0.767387074474338,0.14003660769259982,0.03594898641122744,0.03316645143164937,0.03855040942377763,0.009857429271552684,0.008353753619959901,0.011695255067943864,passed before and after,0.23344259342261564,0.23344259342261564,0.22373194766285143,0.1425244999517884,0.27874755189211525,race,persists,0.6421251949209178,0.18300289596792157,0.17555728880738455,0.19124526620628202,0.6421251949209178,persists,0.32936032594086784,0.2031632880374248,0.3777570468406232,0.40938607048555,physhlth_proxy,model_input,True,3.8821810006629676,3.771700998186134,0.4566000425256789,1,False,0.14704815002970723,0.2337157604724026,0.06646676661669165,0.0766837976331442,False,1069.1586431000032
adult_income,Cross-domain: UCI Adult Income,ok,45222,9045,0.2478717523493643,0.8901892734262303,0.11193002754534362,0.011940298507462688,0.010668877833056938,0.013349917081260366,0.018518518518518517,0.016417910447761194,0.021006080707573243,passed before and after,0.10805696843211499,0.10805696843211499,0.08080979653560305,0.05483308606118996,0.11204419745439614,race,persists,0.33864013266998344,0.1310116086235489,0.12384385632027717,0.13797678275290215,0.33864013266998344,persists,0.39054240560181946,0.15046987285793256,0.5836136222624374,0.5196082312686005,education_proxy,model_input,True,1.6368599981069565,1.8977729993639514,0.1579000090714544,0,False,0.07171586468473523,0.13597444801255829,0.3458270864567716,0.00909393185086782,False,536.7166444999748
acs_income,Cross-domain: Folktables ACS-Income (CA 2018),ok,20000,4000,0.4105,0.8655797921192941,0.1456893189087324,0.020749999999999998,0.017812500000000002,0.0243125,0.018625,0.0155,0.02225,passed before and after,0.052729798215596646,0.052729798215596646,0.052729798215596646,0.027010843633697445,0.07608440212578238,age_group,persists,0.39375,0.17575,0.16408174602510883,0.18776613442306406,0.39375,persists,0.477562096612527,0.176,0.6229759825335169,0.6373275101622573,schl_proxy,model_input,True,1.0465490003116429,1.061015001614578,0.3346000157762319,0,False,0.015502212693115362,0.027716888162658573,0.0004997501249375312,0.03722758552248129,True,193.3181414999999
german_credit,Cross-domain: Statlog German Credit,ok,1000,200,0.7,0.6545238095238095,0.1967865044484779,0.00875,0.0025,0.02125,0.0025,0.0,0.0075,passed before and after,0.05871980676328503,0.05871980676328503,0.02913943691975729,0.0014052650296799657,0.04244814211600012,age_group,"artifact (was failing, now passing)",0.885,0.375,0.31,0.44068989310562245,0.885,persists,0.6323885435967408,0.295,0.2453020092772689,-0.019426251908654667,savings_proxy,independent,True,0.1987559994449839,0.2618969982722774,0.13165001291781664,0,False,0.10456198029923516,0.20699999999999996,0.9420289855072463,-0.07542254337947787,False,28.932542099966668
